# T U K E
318 -1331.458205 336.432573 -995.025632
319 -1332.100423 335.696244 -996.404179
320 -1332.733963 334.978101 -997.755862
321 -1333.358696 334.278085 -999.080611
322 -1333.974346 333.595163 -1000.379183
323 -1334.580945 332.929578 -1001.651367
324 -1335.178462 332.280329 -1002.898133
325 -1335.766777 331.647720 -1004.119057
326 -1336.345894 331.030840 -1005.315053
327 -1336.915921 330.429661 -1006.486260
328 -1337.476614 329.843390 -1007.633223
329 -1338.028102 329.272031 -1008.756070
330 -1338.570000 328.714762 -1009.855238
331 -1339.102468 328.171281 -1010.931188
332 -1339.624959 327.641100 -1011.983859
333 -1340.137540 327.123674 -1013.013866
334 -1340.639702 326.618274 -1014.021429
335 -1341.131170 326.123802 -1015.007367
336 -1341.611292 325.639897 -1015.971395
337 -1342.079683 325.165674 -1016.914009
338 -1342.535690 324.700131 -1017.835559
339 -1342.978826 324.242293 -1018.736533
340 -1343.408372 323.791371 -1019.617002
341 -1343.823549 323.346328 -1020.477221
342 -1344.223733 322.906070 -1021.317664
343 -1344.608151 322.470079 -1022.138072
344 -1344.976204 322.037047 -1022.939157
345 -1345.327301 321.606212 -1023.721089
346 -1345.660806 321.176876 -1024.483930
347 -1345.975998 320.747790 -1025.228209
348 -1346.272462 320.318924 -1025.953539
349 -1346.549748 319.889030 -1026.660718
350 -1346.807261 319.457714 -1027.349547
351 -1347.044824 319.024244 -1028.020580
352 -1347.261954 318.588409 -1028.673546
353 -1347.458534 318.149508 -1029.309026
354 -1347.634399 317.707392 -1029.927007
355 -1347.789481 317.261816 -1030.527665
356 -1347.923523 316.812630 -1031.110894
357 -1348.036813 316.359347 -1031.677466
358 -1348.129250 315.902120 -1032.227130
359 -1348.201017 315.441044 -1032.759974
360 -1348.252432 314.975599 -1033.276833
361 -1348.283645 314.506642 -1033.777003
362 -1348.295004 314.033777 -1034.261227
363 -1348.286982 313.557646 -1034.729336
364 -1348.259970 313.078432 -1035.181538
365 -1348.214518 312.596443 -1035.618075
366 -1348.151258 312.112258 -1036.039000
367 -1348.070681 311.626367 -1036.444314
368 -1347.973650 311.139046 -1036.834605
369 -1347.860825 310.651087 -1037.209738
370 -1347.733129 310.163226 -1037.569904
371 -1347.591441 309.676377 -1037.915065
372 -1347.436807 309.191243 -1038.245564
373 -1347.270177 308.708711 -1038.561466
374 -1347.092884 308.230184 -1038.862700
375 -1346.905978 307.756212 -1039.149766
376 -1346.710911 307.288170 -1039.422741
377 -1346.509004 306.827613 -1039.681391
378 -1346.301550 306.375245 -1039.926304
379 -1346.090283 305.933111 -1040.157172
380 -1345.876580 305.501975 -1040.374605
381 -1345.661927 305.083514 -1040.578413
382 -1345.448026 304.679195 -1040.768831
383 -1345.236413 304.290331 -1040.946082
384 -1345.028808 303.918630 -1041.110177
385 -1344.826801 303.565437 -1041.261364
386 -1344.631934 303.232065 -1041.399869
387 -1344.445665 302.919825 -1041.525840
388 -1344.269391 302.629788 -1041.639603
389 -1344.104454 302.363112 -1041.741341
390 -1343.951959 302.120899 -1041.831060
391 -1343.812978 301.903880 -1041.909098
392 -1343.688531 301.712912 -1041.975619
393 -1343.579438 301.548482 -1042.030955
394 -1343.486379 301.411081 -1042.075298
395 -1343.409832 301.300922 -1042.108910
396 -1343.350241 301.218312 -1042.131929
397 -1343.307672 301.163281 -1042.144391
398 -1343.282122 301.135403 -1042.146719
399 -1343.273445 301.134191 -1042.139254
400 -1343.281327 301.159401 -1042.121926
401 -1343.305522 301.210240 -1042.095282
402 -1343.345386 301.286159 -1042.059227
403 -1343.400086 301.386091 -1042.013995
404 -1343.468893 301.509121 -1041.959771
405 -1343.550927 301.654364 -1041.896563
406 -1343.645307 301.820204 -1041.825103
407 -1343.750681 302.005663 -1041.745018
408 -1343.866125 302.209370 -1041.656755
409 -1343.990307 302.430011 -1041.560295
410 -1344.122023 302.666307 -1041.455716
411 -1344.259983 302.916578 -1041.343405
412 -1344.402975 303.179635 -1041.223340
413 -1344.549627 303.453830 -1041.095797
414 -1344.698521 303.737850 -1040.960670
415 -1344.848421 304.030171 -1040.818250
416 -1344.998038 304.329389 -1040.668649
417 -1345.146036 304.634192 -1040.511844
418 -1345.291152 304.943206 -1040.347946
419 -1345.432136 305.254937 -1040.177199
420 -1345.567830 305.568072 -1039.999758
421 -1345.697167 305.881880 -1039.815287
422 -1345.818968 306.194590 -1039.624377
423 -1345.932268 306.505319 -1039.426949
424 -1346.036010 306.813059 -1039.222951
425 -1346.129349 307.116713 -1039.012636
426 -1346.211416 307.415517 -1038.795899
427 -1346.281474 307.708496 -1038.572979
428 -1346.338833 307.994948 -1038.343885
429 -1346.382890 308.274081 -1038.108809
430 -1346.413077 308.545254 -1037.867824
431 -1346.428887 308.808101 -1037.620786
432 -1346.429820 309.062044 -1037.367776
433 -1346.415720 309.306442 -1037.109277
434 -1346.386120 309.541297 -1036.844823
435 -1346.340998 309.765937 -1036.575062
436 -1346.279965 309.980668 -1036.299297
437 -1346.203226 310.184851 -1036.018375
438 -1346.110585 310.378639 -1035.731946
439 -1346.002154 310.562186 -1035.439968
440 -1345.878143 310.735400 -1035.142743
441 -1345.738695 310.898467 -1034.840228
442 -1345.584219 311.051264 -1034.532955
443 -1345.414955 311.194831 -1034.220124
444 -1345.231319 311.328955 -1033.902364
445 -1345.033525 311.453912 -1033.579613
446 -1344.822439 311.570557 -1033.251882
447 -1344.598534 311.679350 -1032.919184
448 -1344.362453 311.780626 -1032.581827
449 -1344.114862 311.875547 -1032.239315
450 -1343.856626 311.964297 -1031.892330
451 -1343.588584 312.048372 -1031.540212
452 -1343.311687 312.127957 -1031.183730
453 -1343.026863 312.204274 -1030.822589
454 -1342.735263 312.278696 -1030.456567
455 -1342.437898 312.351958 -1030.085940
456 -1342.136124 312.425374 -1029.710751
457 -1341.831158 312.500163 -1029.330994
458 -1341.524507 312.577580 -1028.946926
459 -1341.217339 312.659273 -1028.558066
460 -1340.911364 312.746739 -1028.164626
461 -1340.608145 312.841260 -1027.766885
462 -1340.309248 312.944699 -1027.364549
463 -1340.016546 313.058828 -1026.957718
464 -1339.731641 313.185294 -1026.546347
465 -1339.456485 313.325748 -1026.130737
466 -1339.192865 313.482539 -1025.710326
467 -1338.942747 313.656767 -1025.285979
468 -1338.707887 313.850631 -1024.857256
469 -1338.490257 314.066114 -1024.424143
470 -1338.291582 314.304865 -1023.986717
471 -1338.113684 314.568502 -1023.545182
472 -1337.958330 314.858612 -1023.099718
473 -1337.827007 315.176965 -1022.650043
474 -1337.721232 315.524629 -1022.196604
475 -1337.642415 315.902977 -1021.739438
476 -1337.591688 316.312894 -1021.278794
477 -1337.569841 316.755294 -1020.814547
478 -1337.577546 317.230268 -1020.347277
479 -1337.615236 317.738823 -1019.876412
480 -1337.683103 318.280072 -1019.403031
481 -1337.780849 318.853921 -1018.926928
482 -1337.908002 319.459850 -1018.448152
483 -1338.063624 320.096269 -1017.967355
484 -1338.246493 320.762140 -1017.484353
485 -1338.455205 321.455597 -1016.999608
486 -1338.687633 322.174350 -1016.513283
487 -1338.941589 322.916106 -1016.025483
488 -1339.214832 323.677964 -1015.536868
489 -1339.504150 324.457021 -1015.047129
490 -1339.806603 325.249826 -1014.556777
