# T U K E
1635 -1255.796090 387.626959 -868.169130
1636 -1255.849112 387.645677 -868.203435
1637 -1255.892320 387.653042 -868.239278
1638 -1255.922885 387.646432 -868.276453
1639 -1255.938597 387.623985 -868.314611
1640 -1255.937485 387.583385 -868.354100
1641 -1255.917506 387.522679 -868.394828
1642 -1255.876848 387.440769 -868.436079
1643 -1255.814233 387.336042 -868.478191
1644 -1255.728923 387.208405 -868.520518
1645 -1255.620670 387.057496 -868.563174
1646 -1255.489253 386.883864 -868.605389
1647 -1255.335544 386.688611 -868.646933
1648 -1255.160989 386.473324 -868.687665
1649 -1254.967301 386.240354 -868.726947
1650 -1254.757202 385.992205 -868.764998
1651 -1254.533527 385.732417 -868.801110
1652 -1254.300012 385.465110 -868.834902
1653 -1254.060499 385.194284 -868.866215
1654 -1253.819516 384.924300 -868.895216
1655 -1253.581904 384.660194 -868.921710
1656 -1253.352360 384.407153 -868.945206
1657 -1253.135708 384.169632 -868.966077
1658 -1252.937005 383.953212 -868.983793
1659 -1252.761035 383.761859 -868.999175
1660 -1252.612277 383.600516 -869.011761
1661 -1252.494766 383.472780 -869.021986
1662 -1252.412223 383.381700 -869.030523
1663 -1252.367454 383.330141 -869.037313
1664 -1252.362990 383.320544 -869.042446
1665 -1252.400290 383.353544 -869.046746
1666 -1252.480325 383.429932 -869.050393
1667 -1252.603291 383.549766 -869.053524
1668 -1252.768765 383.711182 -869.057583
1669 -1252.975152 383.913567 -869.061585
1670 -1253.220658 384.154200 -869.066458
1671 -1253.502735 384.430243 -869.072492
1672 -1253.818433 384.738304 -869.080128
1673 -1254.164062 385.074599 -869.089463
1674 -1254.536032 385.435310 -869.100722
1675 -1254.930292 385.816072 -869.114220
1676 -1255.342114 386.212215 -869.129899
1677 -1255.767191 386.619649 -869.147541
1678 -1256.201109 387.033430 -869.167679
1679 -1256.639354 387.449164 -869.190190
1680 -1257.077907 387.862821 -869.215086
1681 -1257.512390 388.270040 -869.242350
1682 -1257.938662 388.666792 -869.271869
1683 -1258.353163 389.049448 -869.303715
1684 -1258.752255 389.414835 -869.337420
1685 -1259.132803 389.759538 -869.373265
1686 -1259.491509 390.080475 -869.411034
1687 -1259.826215 390.375238 -869.450977
1688 -1260.134107 390.641572 -869.492536
1689 -1260.413298 390.878014 -869.535285
1690 -1260.662226 391.082247 -869.579979
1691 -1260.879241 391.253634 -869.625607
1692 -1261.063336 391.390712 -869.672624
1693 -1261.213577 391.492935 -869.720642
1694 -1261.329649 391.559879 -869.769770
1695 -1261.411019 391.591516 -869.819503
1696 -1261.457954 391.588184 -869.869770
1697 -1261.470621 391.550131 -869.920490
1698 -1261.449667 391.477878 -869.971789
1699 -1261.395744 391.372648 -870.023096
1700 -1261.309998 391.235725 -870.074273
1701 -1261.193682 391.068027 -870.125655
1702 -1261.048194 390.871266 -870.176928
1703 -1260.874999 390.646847 -870.228153
1704 -1260.675679 390.396999 -870.278680
1705 -1260.452078 390.123250 -870.328828
1706 -1260.206035 389.827585 -870.378450
1707 -1259.939413 389.511898 -870.427515
1708 -1259.654077 389.178142 -870.475935
1709 -1259.351944 388.828332 -870.523612
1710 -1259.034652 388.464118 -870.570535
1711 -1258.703985 388.087299 -870.616685
1712 -1258.361372 387.699099 -870.662274
1713 -1258.008544 387.301285 -870.707259
1714 -1257.646662 386.895172 -870.751491
1715 -1257.276603 386.481155 -870.795447
1716 -1256.899373 386.060944 -870.838428
1717 -1256.515660 385.634844 -870.880816
1718 -1256.126058 385.202886 -870.923172
1719 -1255.730751 384.766258 -870.964493
1720 -1255.330403 384.324993 -871.005411
1721 -1254.924742 383.879088 -871.045653
1722 -1254.514261 383.428728 -871.085533
1723 -1254.098745 382.974065 -871.124679
1724 -1253.678155 382.514824 -871.163331
1725 -1253.252542 382.051768 -871.200775
1726 -1252.822199 381.584712 -871.237486
1727 -1252.387389 381.114299 -871.273090
1728 -1251.948459 380.640649 -871.307809
1729 -1251.505962 380.165045 -871.340917
1730 -1251.060527 379.688126 -871.372401
1731 -1250.613367 379.211174 -871.402194
1732 -1250.165601 378.735408 -871.430193
1733 -1249.718632 378.261989 -871.456643
1734 -1249.273990 377.793204 -871.480786
1735 -1248.833301 377.330883 -871.502418
1736 -1248.398860 376.876978 -871.521882
